Date,BND,BTC-USD,CC,CPI,DJP,FXN,Fed_Rates,GLD,IYC,M3,QQQ,SHV,SPY,VAW,VNQ,XLF,XLI,XLP,XLU,XLV,XLY
2014-10-01,82.360001,338.321014,93.5,237.4,34.060001,24.200001,2.3,112.660004,31.905001,11539.0,101.400002,110.269997,201.660004,108.400002,78.989998,19.366369,55.209999,46.709999,45.470001,67.269997,68.099998
2014-11-01,82.870003,378.046997,95.54,237.0,32.619999,21.5,2.33,112.110001,33.927502,11615.0,106.010002,110.260002,207.199997,109.559998,80.57,19.821283,56.91,49.299999,46.0,69.610001,71.809998
2014-12-01,82.370003,320.192993,100.7,236.3,29.91,20.93,2.21,113.580002,34.439999,11760.0,103.25,110.25,205.539993,107.389999,81.0,20.089357,56.580002,48.490002,47.220001,68.379997,72.150002
2015-01-01,84.349998,217.464005,105.6,234.7,28.57,20.01,1.88,123.449997,33.73,11759.0,101.099998,110.260002,199.449997,104.480003,86.550003,18.69212,54.57,48.02,48.32,69.269997,69.989998
2015-02-01,83.080002,254.263,102.6,235.3,29.370001,21.879999,1.98,116.160004,36.115002,11847.0,108.400002,110.279999,210.660004,112.580002,83.370003,19.780666,57.490002,50.009998,45.23,72.239998,75.970001
2015-03-01,83.370003,244.223999,100.1,236.0,27.73,21.1,2.04,113.660004,36.049999,11957.0,105.599998,110.269997,206.429993,108.550003,84.309998,19.585703,55.77,48.740002,44.43,72.5,75.349998
2015-04-01,82.910004,236.145004,103.2,236.2,29.5,23.34,1.94,113.470001,35.674999,12005.0,107.629997,110.279999,208.460007,111.089996,79.379997,19.60195,55.630001,48.369999,44.220001,71.709999,75.309998
2015-05-01,82.339996,230.190002,97.59,237.0,28.57,21.35,2.2,114.099998,36.052502,11908.0,110.050003,110.279999,211.139999,111.650002,79.139999,19.983753,55.810001,48.790001,44.5,74.940002,76.300003
2015-06-01,81.260002,263.071991,103.4,237.7,29.059999,19.959999,2.36,112.370003,35.779999,11962.0,107.07,110.290001,205.850006,107.650002,74.690002,19.805037,54.060001,47.599998,41.459999,74.389999,76.480003
2015-07-01,81.809998,284.649994,100.2,238.0,25.639999,16.940001,2.32,104.93,37.605,12013.0,111.949997,110.269997,210.5,102.029999,79.0,20.479284,54.220001,50.310001,43.990002,76.589996,80.220001
2015-08-01,81.440002,230.056,98.88,238.0,25.299999,16.620001,2.17,108.82,35.014999,12070.0,104.309998,110.279999,197.669998,96.419998,74.029999,19.033306,51.290001,47.310001,42.459999,70.489998,74.980003
2015-09-01,81.93,236.059998,93.82,237.5,24.450001,14.4,2.17,106.860001,34.397499,12138.0,101.760002,110.309998,191.630005,87.330002,75.540001,18.407799,49.889999,47.189999,43.290001,66.230003,74.260002
2015-10-01,81.790001,314.165985,96.83,237.7,24.26,16.120001,2.07,109.300003,36.970001,12172.0,113.330002,110.269997,207.929993,98.610001,79.889999,19.561333,54.27,49.880001,43.75,71.339996,80.970001
2015-11-01,81.300003,377.321014,98.23,238.0,22.25,16.24,2.26,101.919998,36.627499,12298.0,114.019997,110.25,208.690002,99.389999,79.389999,19.95126,54.740002,49.419998,42.82,71.110001,80.779999
